		Institution	Location	Academic	Employer	Citations	H	International	Score
72=	78	University of York	United Kingdom	81.1	64	80.5	76.5	61	76.3
74	93=	Delft University of Technology	Netherlands	78.2	74.9	77.5	62.1	72.9	76
75	84=	National Taiwan University (NTU)	Taiwan	84.4	80.1	83	22.1	26.3	75.9
76=	84=	City University of New York	United States	76.9	70.2	78	88.4	59.4	75.6
76=	86=	Eberhard Karls Universit?t T¨¹bingen	Germany	84	58.7	80.6	57.1	63.4	75.6
76=	62=	Fudan University	China (Mainland)	82.7	82.6	76.1	44.2	8.4	75.6
76=	72=	Victoria University of Wellington	New Zealand	80.8	73.7	77.8	62.1	37.7	75.6
80=	59=	Georgetown University	United States	81.1	68.9	78.5	81.8	17.7	75.3
80=	86=	Universitat de Barcelona	Spain	79.5	74.6	72.3	62.1	52.5	75.3
82=	79=	Lancaster University	United Kingdom	79.2	65	84.3	81.8	42.1	75.1
82=	82	Queen Mary University of London	United Kingdom	79.5	69.4	79	73.4	41.8	75.1
84=	105=	Universiti Malaya (UM)	Malaysia	79.8	79.1	76	57.1	25.5	75
84=	100=	Utrecht University	Netherlands	79.3	64.1	80.9	76.5	54.9	75
86=	89=	Indiana University Bloomington	United States	80.5	60	81.9	76.5	54	74.9
86=	77	Korea University	South Korea	83.1	73.7	76.6	51.3	13.7	74.9
86=	96=	The University of Queensland	Australia	77.7	77.3	79.6	62.1	44.4	74.9
86=	81	University of Wisconsin-Madison	United States	79	62.4	84	79.3	55.1	74.9
90=	112	University of Oslo	Norway	81.3	55.7	78.8	73.4	68.3	74.8
90=	72=	Yonsei University	South Korea	84.1	76.8	74.6	44.2	1.9	74.8
92=	113=	HSE University	Russia	77.4	85.5	62.8	51.3	51.7	74.7
92=	113=	University College Dublin	Ireland	79.1	71.3	75.3	73.4	36.9	74.7
94=	72=	Northwestern University	United States	77.4	68.1	83.5	76.5	46.3	74.4
94=	110	The University of Exeter	United Kingdom	76.7	67.8	80.4	79.3	56.6	74.4
96=	102=	Carnegie Mellon University	United States	74.7	67.8	100	70.1	64.2	74.3
96=	116=	University of Geneva	Switzerland	80.9	61.2	76.1	66.3	57.6	74.3
98	89=	Johns Hopkins University	United States	75.6	72.5	90.3	62.1	58.4	74.2
99=	111	Aarhus University	Denmark	77.6	67.4	78.8	66.3	60.9	74
99=	116=	RMIT University	Australia	77.4	81.5	74.8	51.3	35.7	74
99=	83	Rutgers University¨CNew Brunswick	United States	77.5	56.7	84.9	90.4	60.3	74
99=	91=	University of Bristol	United Kingdom	75.5	70.2	80.4	79.3	54.6	74
103	124=	Politecnico di Milano	Italy	79.4	83.8	68.9	35	34.8	73.9
104=	88	"University of California, San Diego (UCSD)"	United States	76	66.5	84.7	73.4	60.3	73.8
104=	118=	University of Washington	United States	75.8	66.6	89.4	70.1	59.9	73.8
106=	107=	Albert-Ludwigs-Universitaet Freiburg	Germany	80.9	54.4	81.9	66.3	63.5	73.7
106=	93=	The University of Sheffield	United Kingdom	76	68.1	81.2	79.3	48.3	73.7
108=	134	ETH Zurich - Swiss Federal Institute of Technology	Switzerland	74.8	80.7	83.9	51.3	48.8	73.6
108=	132=	Stockholm University	Sweden	79.7	57.1	79.4	70.1	63	73.6
108=	152=	Universitat Aut¨°noma de Barcelona	Spain	76.6	73.8	73.2	62.1	54.4	73.6
111=	96=	Boston University	United States	75.5	72.3	79.8	73.4	42.7	73.4
111=	93=	University of Zurich	Switzerland	82	58.9	80	51.3	51.9	73.4
113	128=	Goethe-University Frankfurt am Main	Germany	78.8	58.3	77	66.3	70.4	73.2
114	113=	Macquarie University	Australia	75.1	75.3	79	57.1	55.8	73.1
115	118=	Saint Petersburg State University	Russia	77.6	84.8	55	44.2	41.4	73
116=	105=	Pennsylvania State University	United States	74.8	67.6	81.5	73.4	57.4	72.9
116=	137=	University of Nottingham	United Kingdom	71.8	71.3	81.8	79.3	70.1	72.9
118=	107=	Ca' Foscari University of Venice 	Italy	80.8	70.1	69.9	51.3	23.7	72.8
