		Institution	Location	Academic	Employer	Citations	H	International	Score
316=	304=	Eindhoven University of Technology	Netherlands	63.6	66.3	77.2	62.1	33.8	63.6
316=	228=	Syracuse University	United States	66.5	57.5	78.3	66.3	27.6	63.6
316=	369=	Universitat de Valencia	Spain	66.3	60.9	69.4	51.3	51	63.6
319=	314=	East China Normal University	China (Mainland)	71.3	49.1	66.4	51.3	42.1	63.5
319=	296=	Vanderbilt University	United States	67.8	50.7	78.4	70.1	30.9	63.5
321=	281=	McMaster University	Canada	64.5	62.1	76	66.3	32.7	63.4
321=	400=	Universit¨¦ Lumi¨¨re Lyon 2	France	75.1	44	66.1	35	39.5	63.4
323=	361=	"Adam Mickiewicz University, Pozna¨½"	Poland	68.7	49.2	65.2	57.1	61	63.3
323=	451-500	De La Salle University	Philippines	68.5	72.2	47.8	35	31.7	63.3
323=	265	Florida State University	United States	64.3	60.8	79.9	66.3	32.6	63.3
326	451-500	Swansea University	United Kingdom	66.4	58.8	77.4	57.1	30.5	63.2
327=	451-500	Ateneo de Manila University	Philippines	70.4	73.6	40.2	22.1	29.7	63.1
327=	304=	UNESP	Brazil	67.5	68.8	55.8	44.2	27.6	63.1
329	327=	University of Victoria (UVic)	Canada	67.1	51.9	79	62.1	33.3	62.9
330=	269=	Fordham University 	United States	67.3	56.5	78.8	70.1		62.8
330=	343=	Kazan (Volga region) Federal University	Russia	68	67.9	67.3	22.1	33.7	62.8
330=	365=	University of South Australia	Australia	63.3	65.9	80.4	51.3	35.7	62.8
333=	258=	"Essex, University of"	United Kingdom	66.2	55.1	79.5	62.1	27.6	62.7
333=	401-450	Indian Institute of Technology Bombay (IITB)	India	68.9	66.5	65.1	22.1	29.7	62.7
333=	451-500	Politecnico di Torino	Italy	65.4	75.3	68.6	22.1	31.7	62.7
333=	311=	University of Coimbra	Portugal	69.3	52.3	74.1	51.3	25	62.7
333=	338=	University of Southern Denmark (SDU)	Denmark	64.1	58.8	78.5	57.1	47	62.7
338=	391=	Dublin City University	Ireland	63.7	64.1	79	51.3	36.1	62.6
338=	320=	Stellenbosch University	South Africa	63.6	54.5	70.9	66.3	64.7	62.6
338=	296=	Universidad de Antioquia	Colombia	71.6	60.1	57.9	35	12.7	62.6
338=	353=	Universitat Polit¨¨cnica de Catalunya ¡¤ BarcelonaTech (UPC)	Spain	67.1	68.3	74.6	22.1	28	62.6
342=	401-450	Istanbul University	Turkey	67.8	67.9	59.9	35	22.2	62.5
342=	365=	Johannes Gutenberg Universit?t Mainz	Germany	70.1	45.1	75.2	44.2	49.1	62.5
342=	350=	"Kingston University, London"	United Kingdom	65.8	64.6	67.6	57.1	14.9	62.5
342=	356=	Nagoya University	Japan	70.1	63.2	72.8	22.1	12.7	62.5
342=	293=	Sogang University	South Korea	72.4	60.8	57	35		62.5
342=	314=	University of Ljubljana	Slovenia	67.4	52.6	66.1	62.1	37.7	62.5
348	391=	Massey University	New Zealand	67.2	62.2	73.6	44.2	15.7	62.4
349=	341=	European University Institute	Italy	67.9	50.5	69.8	62.1	31.7	62.3
349=	378=	"University of Rome ""Tor Vergata"""	Italy	68.3	63	59.6	44.2	18.3	62.3
351=	451-500	?cole Normale Sup¨¦rieure de Lyon	France	71.8	55.1	63.3	44.2		62.2
351=	377	E?tv?s Lor¨¢nd University	Hungary	69.4	51.6	66.4	44.2	39.5	62.2
351=	353=	Tufts University	United States	65.8	48.2	82.4	66.3	37.7	62.2
351=	266=	Universidad Nacional de La Plata (UNLP)	Argentina	71.7	59.7	60.9	35		62.2
351=	356=	Universit¨¦ Laval	Canada	64.6	58.8	77.5	51.3	41.3	62.2
356=	356=	Masaryk University	Czech Republic	67.1	56.8	71.8	44.2	36.1	62.1
356=	311=	Ritsumeikan University	Japan	66.2	71.3	73.5	35		62.1
356=	361=	Tokyo Institute of Technology (Tokyo Tech)	Japan	65.8	78.5	57.9	35		62.1
356=	401-450	University of Limerick	Ireland	64.6	63.5	74	51.3	25.4	62.1
360=	333=	Nottingham Trent University	United Kingdom	62.2	66.3	79.4	51.3	31.5	62
360=	369=	Sophia University 	Japan	75.2	59.9	43.5	22.1		62
362		Khoja Akhmet Yassawi International Kazakh-Turkish University	Kazakhstan	73.8	66.9	34.5	22.1		61.9
363=	451-500	European University at St. Petersburg	Russia	72.6	58.4	44.1	22.1	31.7	61.8
363=	284=	Pontif¨ªcia Universidade Cat¨®lica do Rio de Janeiro	Brazil	70.2	61.2	48.1	51.3		61.8
363=		Taylor's University	Malaysia	68.9	76	48.8		31.7	61.8
366=	401-450	Beijing Foreign Studies University	China (Mainland)	74.8	49.7	47.9	22.1	31.7	61.7
366=	385=	"City, University of London"	United Kingdom	62.5	62.8	87.3	51.3	25.6	61.7
366=	322=	University of Bath	United Kingdom	63	68.3	80.6	44.2	16.9	61.7
366=	373=	University of Kansas	United States	64.2	58.2	81	51.3	31.7	61.7
370=	397=	Auckland University of Technology (AUT)	New Zealand	63.2	65	74.8	51.3	23.7	61.6
370=	401-450	Mahidol University	Thailand	67.1	73.4	52.1	22.1	22.2	61.6
370=	331=	University of Manitoba	Canada	61.9	64.8	74.4	57.1	32.2	61.6
370=	338=	Washington State University	United States	63.3	62.6	81.3	51.3	22.2	61.6
374=	325=	Kyushu University	Japan	70.8	66.4	54	22.1		61.5
374=	361=	Pontificia Universidad Cat¨®lica de Valpara¨ªso	Chile	68.5	56.5	58.5	44.2	27.6	61.5
374=	343=	Universidad Iberoamericana IBERO	Mexico	72.8	65.9	40.1	22.1		61.5
374=	380=	Universidade de Santiago de Compostela	Spain	67.9	55.6	63.6	44.2	31.7	61.5
378=		Bandung Institute of Technology (ITB)	Indonesia	68.7	85.2	41.8	-		61.4
378=	327=	Georgia State University	United States	61.6	59	81.3	66.3	31.7	61.4
378=		University of Dhaka	Bangladesh	65.5	86	44.7	-	31.7	61.4
378=	325=	University of Miami	United States	60	60.2	81.2	73.4	34.3	61.4
382	333=	Swinburne University of Technology	Australia	63.7	60.2	74.5	51.3	31.7	61.3
383=	385=	Colegio de M¨¦xico	Mexico	76.3	48.1	41.8	35		61.2
383=	383	Ruhr-Universit?t Bochum	Germany	67.7	43.1	74.7	51.3	50.9	61.2
383=		Universiti Teknologi Malaysia 	Malaysia	64.8	70.5	73	22.1	22.2	61.2
383=	401-450	University of Huddersfield	United Kingdom	64.7	59	76.3	51.3	21	61.2
383=	401-450	University of Waikato	New Zealand	62.6	59	74.1	57.1	39.3	61.2
388=		"Sofia University ""St. Kliment Ohridski"""	Bulgaria	66.5	72	47.3	22.1	31.7	61.1
388=	401-450	Universit¨¦ de Toulouse II-Le Mirail	France	71.2	42.6	64.3	35	47.7	61.1
388=	322=	University at Buffalo SUNY	United States	66.5	47.4	79.5	62.1	21.2	61.1
388=	355	University of Surrey	United Kingdom	61.3	60.2	81.2	62.1	30.2	61.1
388=	385=	Vrije Universiteit Brussel (VUB)	Belgium	64.7	50.7	78	51.3	49.1	61.1
393=	356=	KTH Royal Institute of Technology 	Sweden	63.3	57.8	72.9	57.1	34.8	61
393=	393=	Universidad Carlos III de Madrid (UC3M)	Spain	63.2	70.5	64.7	35	29.7	61
395=	343=	Russian State University for the Humanities 	Russia	70.7	60.9	48.6	35		60.9
395=	378=	Tilburg University	Netherlands	60.7	54.6	82.9	62.1	53.5	60.9
395=	343=	Universidad Diego Portales (UDP)	Chile	67.3	57.9	63.7	35	31.7	60.9
395=	331=	Universidade Federal do Rio Grande Do Sul 	Brazil	70	47.7	64.2	44.2	25.4	60.9
395=	401-450	Universit?t Innsbruck	Austria	66.6	49.9	71.1	51.3	34.7	60.9
395=		Universit¨¦ Paris-Saclay	France	59.3	66.2	83.7	51.3	39.5	60.9
401-450	401-450	Aalborg University	Denmark	62.8	61.5	76	44.2	36.5	
401-450		Airlangga University	Indonesia	64.6	82.7	40.5	22.1		
401-450	373=	Bilkent University	Turkey	63	64.1	67.8	57.1		
401-450		Chiang Mai University	Thailand	67.6	65.9	44.9	22.1	31.7	
401-450	401-450	Christian-Albrechts-University zu Kiel	Germany	66.2	52.4	78.3	22.1	38.7	
401-450	393=	Dalhousie University	Canada	62	56.7	77.4	51.3	37.7	
401-450	401-450	Hitotsubashi University	Japan	70	64.9	40.4	-	22.2	
401-450	380=	Hokkaido University	Japan	66.9	65.8	55	22.1	31.7	
401-450	401-450	Hongik University 	South Korea	69.2	52.8	50.4	22.1	31.7	
401-450	451-500	Indian Institute of Technology Delhi (IITD)	India	68	65.7	55.4	-	31.7	
401-450	401-450	International Islamic University Malaysia (IIUM)	Malaysia	67.1	64.3	57.7	35	12.7	
401-450	401-450	Jadavpur University	India	72.5	42.9	48.6	44.2	31.7	
401-450	451-500	King Saud University	Saudi Arabia	63.6	60	72.1	44.2	32.7	
401-450		Lahore University of Management Sciences (LUMS)	Pakistan	65.7	73.2	48.5	35		
401-450	365=	Maastricht University 	Netherlands	60.3	63.2	83.5	57.1	27.3	
401-450	451-500	Manchester Metropolitan University (MMU)	United Kingdom	61.4	60.1	75.3	62.1	1.3	
401-450	400=	Middle East Technical University	Turkey	63.9	68.4	73.2	35	12.7	
401-450	369=	National Sun Yat-sen University	Taiwan	67.7	61.7	61.1	22.1		
401-450		National Yang Ming Chiao Tung University	Taiwan	66.9	67.9	66.1	22.1		
401-450	401-450	Northumbria University at Newcastle	United Kingdom	60.7	61.3	77.3	51.3	24.7	
401-450	451-500	Norwegian University of Science And Technology	Norway	62.7	51	76.4	44.2	44.4	
401-450	401-450	Novosibirsk State University	Russia	64.9	71.5	52.7	22.1	26.4	
401-450	401-450	Pratt Institute	United States	75.1	48.3	36.7	22.1		
401-450	451-500	Ryerson University	Canada	61.8	60.2	73.9	51.3	29.7	
401-450	401-450	Shandong University	China (Mainland)	64.9	63.2	60.4	22.1	31.7	
401-450	373=	Tampere University	Finland	63.1	48.5	84	62.1	36.1	
401-450	380=	Temple University	United States	63.9	49	78.5	57.1	38.1	
401-450		Thammasat University	Thailand	67.8	68	43	-	31.7	
401-450	322=	The University of Georgia	United States	61.5	55.5	81	62.1	34	
401-450	333=	Umea University	Sweden	66.8	39.5	76.4	66.3	32.6	
401-450	338=	Universidad Aut¨®noma Metropolitana (UAM)	Mexico	70.5	59.9	44.1	35		
401-450	384	Universidad de la Rep¨²blica (Udelar)	Uruguay	66.8	66.6	50.4	35	12.7	
401-450	361=	Universidad Nacional de C¨®rdoba - UNC	Argentina	66.9	56.8	58.2	35	31.7	
401-450	397=	Universidade de Bras¨ªlia	Brazil	65.5	56.2	60.1	35	29.7	
401-450	343=	Universidade Federal de Minas Gerais      	Brazil	68.5	53.2	60.4	35	34.3	
401-450	400=	Universidade Federal de Santa Catarina 	Brazil	64.9	53.6	61.7	44.2	29.7	
401-450	385=	Universit¨¤ degli Studi di Pavia	Italy	66.9	51.6	68.4	57.1	19	
401-450	393=	Universit?t Jena	Germany	65.8	51	72.1	51.3	37.7	
401-450	401-450	Universit?t Potsdam	Germany	64.2	39.1	82.2	57.1	50.7	
401-450	400=	Universit¨¦ de Li¨¨ge	Belgium	65.1	55.4	74.8	44.2	32.1	
401-450	451-500	University of Belgrade	Serbia	65.4	49.9	70	35	55.9	
401-450		"University of California, Riverside"	United States	62.4	52.1	75.3	70.1	30.5	
401-450	373=	University of Cincinnati	United States	62.2	47.9	79.5	62.1	50.8	
401-450	401-450	University of Genoa	Italy	62.6	53.6	71.7	57.1	36.1	
401-450	369=	University of Jordan	Jordan	63.5	75.6	55.8	22.1	31.7	
401-450	401-450	University of Jyv?skyl?	Finland	62.8	48.7	79.7	62.1	40.2	
401-450	401-450	"University of Missouri, Columbia"	United States	62.6	51.8	83.8	57.1	38.5	
401-450	397=	University of Pretoria	South Africa	60	59.2	70.4	70.1	44.1	
401-450	401-450	University of Strathclyde	United Kingdom	59.6	59.3	78.6	62.1	30.1	
401-450	401-450	University of Tasmania	Australia	59.4	62.2	75.5	57.1	22.3	
401-450	356=	University of Trento	Italy	64.2	57.8	79.6	35	41.7	
401-450	401-450	University of Tsukuba	Japan	68.9	55.9	57.1	22.1	31.7	
401-450	401-450	Vilnius University 	Lithuania	65.2	62.7	61.2	35	26.4	
401-450	401-450	Virginia Polytechnic Institute and State University	United States	60.3	56.4	80.1	57.1	31.7	
451-500	401-450	American University	United States	61.9	68.1	66.1	44.2		
451-500		Ankara ?niversitesi	Turkey	64.2	58	57	22.1	31.7	
451-500		Australian Catholic University	Australia	60.5	52.7	76.8	62.1	35.7	
451-500	401-450	Babes-Bolyai University	Romania	63.3	60.3	61.5	35	29.7	
451-500	401-450	Carleton University	Canada	59.3	53.5	77	62.1	19.4	
451-500	451-500	Chalmers University of Technology	Sweden	59.8	58.1	63.6	57.1	41.1	
451-500	385=	College of William and Mary	United States	61.7	50.8	71	62.1	31.7	
451-500	451-500	Florida International University	United States	56.6	62	76.6	51.3	37.8	
451-500		Gazi ?niversitesi	Turkey	67.3	51.5	63.7	22.1	29.7	
451-500	401-450	Illinois Institute of Technology	United States	67.7	50.9	62.6	44.2		
451-500	451-500	Justus-Liebig-University Giessen	Germany	62.6	46.6	73.9	51.3	38.7	
451-500	451-500	Kobe University	Japan	65.8	61.8	52.4	35		
451-500	451-500	Ko? University	Turkey	62.2	64	65.8	35	10.1	
451-500	401-450	Loyola University Chicago	United States	60.6	58.2	69.9	57.1		
451-500		Martin-Luther-Universit?t Halle-Wittenberg	Germany	66	57.1	53.7	35		
451-500		Moscow Pedagogical State University	Russia	69.9	53.3	39	35		
451-500	451-500	Nankai University	China (Mainland)	69.8	45.9	58.7	22.1	31.7	
451-500	401-450	Northeastern University	United States	58.6	59.8	81.1	57.1	18.3	
451-500	401-450	Paul Val¨¦ry University Montpellier	France	68.8	35.6	58.2	44.2	27.6	
451-500	451-500	Shanghai University	China (Mainland)	64.8	59.3	55.6	35		
451-500	451-500	Sichuan University	China (Mainland)	67.2	48	63.8	22.1	27.6	
451-500	401-450	"Stony Brook University, State University of New York"	United States	63.1	45.4	79.2	51.3	33.8	
451-500		Taras Shevchenko National University of Kyiv	Ukraine	63.9	77.2	29.9	22.1		
451-500	401-450	The Open University	United Kingdom	59.2	51.1	81.6	66.3	22.1	
451-500		Universidad Adolfo Ib¨¢?ez	Chile	63.9	63.2	43.3	35	18.3	
451-500	451-500	Universidad Alberto Hurtado	Chile	64.5	49.8	55.9	44.2	29.7	
451-500	401-450	Universidad de Alcal¨¢	Spain	63.8	55.2	64.1	35	31.7	
451-500	451-500	Universidad de Concepci¨®n	Chile	62.7	58.9	54.7	44.2	17.7	
451-500	401-450	Universidad de Guadalajara (UDG)	Mexico	69.3	55.9	43.7	22.1		
451-500	451-500	Universidad de Zaragoza	Spain	65	44.9	67.2	44.2	34.3	
451-500	451-500	Universidade Cat¨®lica Portuguesa - UCP	Portugal	62.6	52.2	59.6	57.1	31.7	
451-500		Universit¨¦ Jean Moulin Lyon 3	France	66.7	60.5	50.1	35		
451-500		Universiti Teknologi MARA - UiTM	Malaysia	65.2	67.4	57.2	-	17.7	
451-500		University of Alicante	Spain	60.4	59.3	63.6	35	44.4	
451-500	451-500	University of Brighton	United Kingdom	62.1	53.2	70.7	51.3	17.5	
451-500	401-450	University of Bucharest	Romania	64.7	62.4	58	44.2		
451-500	451-500	University of Haifa	Israel	60.6	50.5	73.5	62.1	22.5	
451-500	451-500	University of Johannesburg	South Africa	59	53	71.1	62.1	48.9	
451-500	451-500	University of Siena	Italy	65.2	47.3	69.8	35	26.7	
451-500	393=	University of South Carolina	United States	59.8	54.8	78.5	62.1	29.7	
451-500		University of South Florida	United States	56.4	59.1	78.2	62.1	33.8	
451-500	401-450	University of Stirling	United Kingdom	58.7	53	81.5	62.1	34.2	
451-500	451-500	University of Troms? The Arctic University of Norway	Norway	65.2	36.1	74.6	51.3	42.3	
451-500	385=	University of Westminster	United Kingdom	61.8	59.9	71.3	51.3	6.3	
451-500		University of Zagreb	Croatia	62.7	52.8	59.7	44.2	46.9	
451-500	401-450	Xiamen University	China (Mainland)	65.5	55.1	69.5	22.1	32.2	
